epoch,Heavy_Makeup,Wearing_Lipstick,Attractive,Wavy_Hair,No_Beard,Arched_Eyebrows,mean
0,0.192392,0.382882,0.117067,0.067564,0.090665,0.145999,0.166095
1,0.400021,0.510383,0.152716,0.115011,0.089148,0.216725,0.247334
2,0.229997,0.353693,0.186088,0.097953,0.147774,0.133791,0.191549
3,0.202162,0.418484,0.119650,0.058426,0.094153,0.102276,0.165859
4,0.254825,0.412356,0.088432,0.105116,0.132754,0.108915,0.183733
0,0.238774,0.316014,0.074640,0.042534,0.130749,0.168644,0.161892
1,0.112109,0.283131,0.152047,0.032453,0.193190,0.199976,0.162151
2,0.181555,0.319639,0.093398,0.065221,0.131111,0.154927,0.157642
3,0.329717,0.481399,0.134739,0.078034,0.180998,0.132556,0.222907
4,0.180645,0.340032,0.117233,0.119107,0.091524,0.177206,0.170958
0,0.216088,0.225875,0.014991,0.008004,0.117243,0.045411,0.104602
1,0.192006,0.140406,0.019025,0.011067,0.085656,0.084601,0.088793
2,0.237518,0.210668,0.003489,0.019096,0.093975,0.065372,0.105020
3,0.185024,0.162831,0.025944,0.009705,0.028380,0.029195,0.073513
4,0.119675,0.047685,0.008132,0.002365,0.024344,0.042397,0.040766
0,0.196592,0.413951,0.189193,0.071307,0.112313,0.078676,0.177005
1,0.336567,0.556486,0.182193,0.094201,0.103268,0.220332,0.248841
2,0.119750,0.368252,0.150235,0.054933,0.201320,0.136512,0.171834
3,0.113955,0.268250,0.103163,0.075356,0.155809,0.069595,0.131021
4,0.296723,0.502686,0.149101,0.065763,0.124999,0.107635,0.207818
0,0.234972,0.203680,0.005305,0.014515,0.081759,0.016515,0.092791
1,0.262104,0.169219,0.027471,0.002165,0.060927,0.039913,0.093633
2,0.117136,0.113816,0.030143,0.038196,0.052915,0.018192,0.061733
3,0.266592,0.114438,0.051055,0.001681,0.086598,0.042859,0.093871
4,0.101586,0.096462,0.055754,0.018312,0.072746,0.018358,0.060537
